117,17082
221,100
361,221
431,222
4681,117
12391,117
15478,11701
17082,222
24142,23537
25359,25200
26393,26220
28508,21945
29489,4051
30793,4051
31764,21945
33013,1400
33588,29087
34159,26220
36907,33221
49824,39873
58756,49371
61508,41881
62278,51573
63378,13947
67746,63378
73138,813417
73512,39552
76737,73798
80218,76983
87470,35126
95726,35805
97304,66500
101018,34112
113624,40362
132784,96092
141090,20720
159541,39567
180589,179043
210878,69057
217451,101018
221761,34159
224673,221761
230369,132330
251705,310928
251775,107106
252923,206858
271364,211980
282567,70750
287203,224673
291301,93333
294265,110178
305628,31764
308329,291227
308549,185864
316462,294265
318653,282567
320302,313062
326039,320911
332284,851662
336019,316462
342532,288445
344502,368651
344824,29489
348123,344895
348384,47448
349184,344448
354692,26393
356675,353173
357558,356675
361084,361014
366189,328160
366479,349857
367535,43734
369763,410003
369807,363522
370857,336198
371322,316364
371865,370163
371948,371992
373077,35924
374185,63034
375829,354527
376221,373990
378587,372175
378739,308549
379286,331834
379308,376531
380299,93333
383614,366234
388522,367749
395294,395215
397069,396967
399538,291338
403248,377398
403378,46767
405398,402547
405528,403289
406937,345612
407923,406688
412065,407159
412114,407151
412679,389555
412770,417956
414245,413446
414521,788348
414982,405631
416586,397833
417021,411594
417208,413653
417470,415571
418798,407594
419464,379286
419759,377759
420058,408464
420864,410412
422168,412003
423614,414245
423855,419544
425212,424838
426259,24504
427160,252923
429585,161447
429745,426259
430176,87470
432430,715339
433332,96782
434037,728305
436035,755756
437750,738668
438034,438000
438472,376507
700428,230139
700451,420737
700833,4051
702677,420732
703263,374772
703528,422477
705335,701897
705716,423946
706353,421046
706758,101018
707810,703528
707925,704388
708440,704930
709116,366234
709249,385186
710014,373426
710105,706614
711201,426505
711955,702389
712107,366189
712921,703879
714261,700814
714594,28508
714735,711784
715191,712017
718776,718775
719103,407041
720546,718490
720765,380299
721762,330894
723262,715372
723497,416091
723710,711833
723753,402047
725499,95726
725605,718757
726913,706758
727469,212709
728273,716569
730122,729153
731420,706870
732103,365778
732738,411743
733640,423385
734365,730940
735397,21919
737052,736646
737162,366479
738574,409126
739507,723710
740277,210878
741727,849145
742109,737921
742174,416331
744836,725326
745211,352211
747558,320355
747927,739298
748703,744920
749922,709525
750539,44395
750675,737711
753184,725499
756147,370919
756663,751481
757850,430596
758262,744836
759209,755670
760006,738574
761202,311885
761504,430745
761942,756494
762108,728977
763819,308549
765251,742989
765445,747313
766174,714735
768220,768219
768991,768939
769107,367535
770409,726913
772331,427626
774204,431003
775633,768220
776146,435436
776656,132784
776980,751061
778216,762281
780642,776656
780787,740269
780915,786567
782153,417815
782748,782744
782788,419464
783210,782748
785514,751061
785818,770918
786085,714531
786354,383614
786612,717752
786850,407923
791498,715191
791636,786329
791881,368980
792053,706353
793754,366479
794685,408193
794787,162990
794930,791636
795333,259908
797719,787159
798015,712690
798351,25895
798471,29489
800495,781058
800597,751061
804409,36907
804746,737162
805442,731949
805710,798293
806913,738574
806955,430596
807341,427507
807385,781074
807863,793200
808636,782788
809055,433199
809263,317050
809698,806822
812072,399538
812264,713128
813232,807154
813377,429745
813441,326039
813696,796975
814024,793754
814912,326039
816023,812243
816749,272008
818266,5832
819702,723753
820320,734843
822933,747927
823230,769529
823398,808764
823832,720598
823938,726319
824529,112542
824793,367535
824832,712107
825173,767402
825380,824765
825717,362159
825869,816749
825904,805132
826196,49371
826433,811439
826814,809881
827009,821796
827145,748307
827216,328193
828272,747225
828697,824777
828823,437779
830107,819416
831165,804091
831406,316364
831512,755620
831557,806876
831840,391856
832383,813441
832615,416891
832924,842864
832931,826400
833976,817746
834021,731061
834222,438472
834482,318653
834942,371322
837077,416586
837080,806876
838130,720642
838189,363094
839269,792124
839379,825869
839892,824550
839968,748412
840178,823398
840213,89840
840272,746629
840768,704841
840965,706353
841285,87470
841411,826904
841935,113624
842800,798471
843297,705335
843480,723628
843571,837747
844516,833177
844565,840272
844583,271364
844621,434842
844839,707265
844961,438472
844967,438472
845030,841655
845757,812776
845813,822947
845827,828248
845828,834613
845913,180589
846126,840893
846270,845532
846460,822746
846539,725163
847038,829627
847044,272008
847132,826721
847272,844961
847609,813182
847700,845565
847795,812243
847903,73512
848136,751652
848712,423549
848720,848693
848839,845306
848855,844961
849177,818106
849319,847609
849413,766174
849860,99303
849888,298113
850033,831822
850374,848689
850509,837772
850525,791881
850554,850542
851107,723753
851662,846118
851877,834222
851944,839337
851972,805442
852071,782894
852223,846752
852489,795689
852807,784357
853148,705335
853229,847044
853270,406498
853635,720598
853908,723753
854139,853853
854445,792053
854734,823832
854990,723753
855027,766174
855074,423549
855150,854067
855205,831406
855310,706111
856721,846222
857133,725326
857192,704841
857209,831023
857210,824529
857219,834224
857770,793754
858055,734843
858087,715191
858152,383900
858344,858341
858498,826196
858805,858725
859001,316364
859177,315846
859738,851775
859904,858938
859981,401643
860200,854938
860959,847085
861409,844823
862289,331456
862728,786354
862739,21919
863947,845305
864402,132784
864860,422168
865448,824877
865592,816028
866188,861028
